	official_title	brief_title	drug	phases	nct_id
0	The Safety and Efficacy Evaluation of CD19 Targeted Chimeric Antigen Receptor T Cells for B Cell Lymphoma	CD19 Targeted Chimeric Antigen Receptor T Cells for B Cell Lymphoma	 	1 2	NCT03118180
1	A Phase I/II Study of Cellular Immunotherapy With Donor Central Memory-derived Virus-specific CD8+ T-cells Engineered to Target CD19 for CD19+ Malignancies After Allogeneic Hematopoietic Stem Cell Transplant	CD19 CAR T Cells for B Cell Malignancies After Allogeneic Transplant	 	1 2	NCT01475058
2	CTLA-4 Blockade With MDX-010 to Induce Graft-Versus-Malignancy Effects Following Allogeneic Hematopoietic Stem Cell Transplantation	Ipilimumab After Allogeneic Stem Cell Transplant in Treating Patients With Persistent or Progressive Cancer	ipilimumab | therapeutic allogeneic lymphocytes	1	NCT00060372
3	Phase I Study of Radiolabeled Monoclonal Antibody Anti-B1 for the Treatment of B-Cell Lymphomas	Study of Radiolabeled Monoclonal Antibody Anti-B1 for the Treatment of B-Cell Lymphomas and Extended Study to Determine the Safety and Efficacy of Coulter Clone® 131Iodine-B1 Radioimmunotherapy of Advanced Non-Hodgkin's Lymphoma	 	1	NCT01536561
4	Torch: A Phase II Study to Determine the Safety and Efficacy of the Dual mTORC Inhibitor AZD2014 and to Investigate Additional Toxicities in Combination With Rituximab in Relapsed/Refractory Diffuse Large B Cell Lymphoma (DLBCL)	An Evaluation AZD2014 Alone and in Combination With Rituximab in Relapsed/Refractory Diffuse Large B Cell Lymphoma	AZD 2014 | Rituximab	2	NCT02752204
5	BMS_PD-L1_onco : Assessment of the PD-L1 Protein as a Biomarker in Oncology and Hematology	BMS_PD-L1_onco : Assessment of the PD-L1 Protein as a Biomarker in Oncology and Hematology	 		NCT01660776
6	Phase III Study of the Interest of Radiotherapy After 4 or 6 Cycles of CHOP 14 Rituximab Regimen of Chemotherapy , Patients With Agressive Localized Lymphoma	Treatment of Aggressive Localized Lymphoma	rituximab | doxorubicin | vincristine | prednisone	3	NCT00841945
7	A Randomized, Open-Label, Multicenter Study of VELCADE With Rituximab or Rituximab Alone in Subjects With Relapsed or Refractory, Rituximab Naive or Sensitive Follicular B-cell Non-Hodgkin's Lymphoma	Study of VELCADE and Rituximab in Patients With Relapsed or Refractory B-cell Non-Hodgkin's Lymphoma	Bortezomib + Rituximab | Rituximab	3	NCT00312845
8	A Phase II Trial of High-Dose 90Y-Ibritumomab Tiuxetan (Anti-CD20) Followed by Fludarabine and Low-Dose Total Body Irradiation and HLA-Matched Allogeneic Hematopoietic Transplantation for Patients With Relapsed or Refractory Aggressive B-Cell Lymphoma	High-Dose Y-90-Ibritumomab Tiuxetan Added to Reduced-Intensity Allogeneic Stem Cell Transplant Regimen for Relapsed or Refractory Aggressive B-Cell Lymphoma	Cyclosporine | Fludarabine Phosphate | Mycophenolate Mofetil	2	NCT01434472
9	Randomised Phase 3 Study of Rituximab in High-Risk Patients With Diffuse Large B-Cell Lymphoma Who Received a First-Line Consolidative Chemotherapy With Autologous Stem Cell Transplant (ASCT).	Efficacy Study of Rituximab After ASCT in High-Risk Diffuse Large B-Cell Lymphoma	ACVBP | ACE | rituximab	3	NCT00169169
10	A Phase I Open-label, Dose Escalation Study to Investigate the Safety, Pharmacokinetics, Pharmacodynamics and Clinical Activity of GSK2816126 in Subjects With Relapsed/Refractory Diffuse Large B Cell Lymphoma, Transformed Follicular Lymphoma, Other Non-Hodgkin's Lymphomas, Solid Tumors and Multiple Myeloma	A Study to Investigate the Safety, Pharmacokinetics, Pharmacodynamics and Clinical Activity of GSK2816126 in Subjects With Relapsed/Refractory Diffuse Large B Cell Lymphoma, Transformed Follicular Lymphoma, Other Non-Hodgkin's Lymphomas, Solid Tumors and Multiple Myeloma	GSK2816126	1	NCT02082977
11	Treatment Regimen or Children or Adolescent With Mature B-cell NHL or B-AL in China	BNHL-2015 for Children or Adolescents in China	Prednisone,Vincristine, Cyclophosphamide | Cyclophosphamide, Vincristine, Cytarabine, Doxorubincin, Prednisone | Ifosphamide, Etoposide, Methotrexate, Vincristine, Prednisone | Cyclophosphamide, Vindelsine, Cytarabine, Doxorubincin, Prednisone | Ifosphamide, Etoposide, Methotrexate, Vindelsine, Prednisone | Rituximab	2 3	NCT02405676
12	Cellular Infusions in Patients With Recurrent or Persistent Hematologic Malignancies After Allogeneic Stem Cell Transplant	Donor Lymphocyte Infusion in Treating Patients With Recurrent or Persistent Hematologic Cancer After Donor Stem Cell Transplant	 	2 3	NCT00534118
13	A Clinical Trial of Decitabine in Relapse and Refractory Diffuse Large B Cell Lymphoma	A Clinical Trial of Decitabine in Relapse and Refractory Diffuse Large B Cell Lymphoma	Decitabine	4	NCT03579082
14	Non-Myeloablative Allogeneic Bone Marrow Transplantation for Hematologic Malignancies Using Haploidentical Donors: A Phase I Trial of Pre-Transplant Cyclophosphamide	Cyclophosphamide Plus Bone Marrow Transplantation in Treating Patients With Hematologic Cancer	cyclophosphamide | fludarabine phosphate | mycophenolate mofetil | tacrolimus	1	NCT00006042
15	Zevalin And Rituxan For The Treatment Of Relapsed Or Refractory Diffuse Large B-Cell Non-Hodgkin's Lymphoma	Y 90 Ibritumomab Tiuxetan &Rituximab Relapsed or Refractory Diffuse Large B-Cell Non-Hodgkin's Lymphoma	cytarabine | liposomal cytarabine	2	NCT00073957
16	A Phase II Study of Fludarabine and Rituximab for the Treatment of Marginal Zone Non-Hodgkin's Lymphoma	Fludarabine and Rituximab for the Treatment of Marginal Zone Non-Hodgkin's Lymphoma	Fludarabine | Rituximab	2	NCT00117156
17	A Phase II, Open-Label, Trial Evaluating the Efficacy of Amifostine in Patients With Cancers Receiving Outpatient Dose-intensive Cyclophosphamide, Etoposide, and Cisplatin (DICEP) Chemotherapy	Amifostine Followed by High Dose Chemotherapy in Treating Patients With Hematologic Cancer or Solid Tumors	amifostine trihydrate | cisplatin | cyclophosphamide | etoposide	2	NCT00003269
18	UK Utility Study in Diffuse Large B-Cell Lymphoma	Utility Study in Diffuse Large B-Cell Lymphoma (DLBCL)	 		NCT02708732
19	A Phase II Trial to Evaluate the Safety and Activity of Single-agent Lenalidomide Given as Maintenance Therapy After Response to Second-line Therapy in Patients With Relapsed DLBCL, Not Eligible for High-dose Chemotherapy and ASCT	Trial on Lenalidomide Given as Maintenance Therapy for Relapsed Diffuse Large B Cell Lymphoma	Lenalidomide	2	NCT00799513
20	A Phase II Exploratory Study of PXD-101(Belinostat) Followed by Zevalin in Patients With Relapsed Aggressive High-Risk Lymphoma	Belinostat and Yttrium Y 90 Ibritumomab Tiuxetan in Patients W/Relapsed Aggressive B-Cell NHL	belinostat	2	NCT01686165
21	The TOUCH Project: Reducing Distress and Promoting Quality of Life Via Caregiver Massage of Children Undergoing Treatment for Cancer	Massage Therapy Given by Caregiver in Treating Quality of Life of Young Patients Undergoing Treatment for Cancer	 	2	NCT01053494
22	Phase I/II Study of Immunotherapy for Advanced CD19+ Chronic Lymphocytic Leukemia, Acute Lymphoblastic Leukemia/Lymphoma and Non-Hodgkin Lymphoma With Defined Subsets of Autologous T Cells Engineered to Express a CD19-Specific Chimeric Antigen Receptor	Laboratory Treated T Cells in Treating Patients With Relapsed or Refractory Chronic Lymphocytic Leukemia, Non-Hodgkin Lymphoma, or Acute Lymphoblastic Leukemia	 	1 2	NCT01865617
23	A Phase I/II Study of Paclitaxel, Estramustine Phosphate, and Vinorelbine (PaclEVin)	Combination Chemotherapy in Treating Patients With Advanced Cancer	estramustine phosphate sodium | paclitaxel | vinorelbine ditartrate	1 2	NCT00004105
24	A Phase 2a Open-label Study to Investigate Safety and Tolerability (Including the MTD), Efficacy, Pharmacokinetics, Pharmacodynamics and Immunogenicity of MT-3724 in Combination With Lenalidomide in Subjects With Relapsed or Refractory CD20-positive B-cell Non-Hodgkin Lymphoma	PK,PD, Safety and Tolerability of Multiple Dose Regimens of MT-3724 With Lenalidomide for the Treatment of Patients With Relapsed/Refractory Diffuse Large B Cell Non-Hodgkin's Lymphoma (MT-3724_NHL_003)	MT-3724	2	NCT03645395
25	A Phase I Study of Vorinostat and Bortezomib in Children With Refractory or Recurrent Solid Tumors, Including CNS Tumors and Lymphomas	Vorinostat and Bortezomib in Treating Young Patients With Refractory or Recurrent Solid Tumors, Including Central Nervous System Tumors and Lymphoma	vorinostat | bortezomib	1	NCT00994500
26	Carolina Senior: UNC Registry for Older Cancer Patients	Registry of Older Patients With Cancer	 		NCT01137825
27	A Phase I Study of Anti-CD22:TCRz:4-1BB T-cells in Patient With CD22-Positive Recurrent Lymphoma That is Resistant or Refractory to Prior Anti-CD22:TCRz:CD28 Immunotherapy	Anti-CD22 CAR-T Therapy for CD19-refractory or Resistant Lymphoma Patients	Retroviral vector-transduced autologous T cells to express CD22-specific CARs	1	NCT02721407
28	A Phase III, Open-Label, Prospective, Two-Armed, Multicenter, Randomized, Group Sequential Study to Evaluate the Efficacy and Safety of Subsequent Treatment With the Zevalin (Ibritumomab Tiuxetan) Study Regimen Versus Observation in Patients With Diffuse Large B-Cell Lymphoma Who Are in Complete Remission After First-Line CHOP-Rituximab (CHOP-R) Therapy	Study Comparing the Zevalin Regimen With no Further Treatment in DLBCL Patients Who Are in Complete Remission After CHOP-R	Zevalin Therapeutic Regimen	3	NCT00322218
29	Combination of Interleukin 11 (Neumega) With G-CSF to Mobilize Autologous Peripheral Blood Stem Cells (PBSC)	Interleukin-11 Plus Filgrastim Prior to Peripheral Stem Cell Transplantation in Patients With Non-Hodgkin's Lymphoma, Hodgkin's Disease, Breast Cancer, or Other Solid Tumors	 	2	NCT00004157
30	Clinical Study of CD19/CD20 tanCAR T Cells in Relapsed and/or Chemotherapy Refractory B-cell Leukemias and Lymphomas	Treatment of Relapsed and/or Chemotherapy Refractory B-cell Malignancy by Tandem CAR T Cells Targeting CD19 and CD20	 	2	NCT03097770
31	A Phase I Dose Escalation Study to Investigate the Safety, Tolerability, and Pharmacokinetics of SHC014748M in Patients With Relapsed or Refractory Indolent B-Cell Hematologic Malignancies.	Safety, Tolerability, and Pharmacokinetics of SHC014748M in Patients With Indolent B-Cell Hematologic Malignancies	SHC014748M	1	NCT03588598
32	A Phase II Trial Investigating the Benefit of Immunotherapy With Durvalumab After Autologous Transplant in High-risk Diffuse-large B-cell Lymphomas (the IDA-D Trial)	Durvalumab in DLBCL After Autologous Transplant	Durvalumab	2	NCT03241017
33	Pilot Study of Autologous Anti-CD22 Chimeric Antigen Receptor Redirected T Cells in Pediatric Patients With Chemotherapy Resistant Or Refractory Acute Lymphoblastic Leukemia	CD22 Redirected Autologous T Cells for ALL	 	1	NCT02650414
34	A Phase Ib/II Combination of Acalabrutinib With R-CHOP for Patient Diffuse Large B-cell Lymphoma (DLBCL)	A Phase Ib/II Combination of Acalabrutinib With R-CHOP for Patient Diffuse Large B-cell Lymphoma (DLBCL)	acalabrutinib	2	NCT03571308
35	A Phase 2 Multicenter Study of Axicabtagene Ciloleucel in Subjects With Relapsed/Refractory Indolent Non-Hodgkin Lymphoma (iNHL)	A Phase 2 Multicenter Study of Axicabtagene Ciloleucel in Subjects With Relapsed/Refractory Indolent Non-Hodgkin Lymphoma	 	2	NCT03105336
36	Open-label, Multicenter Phase II Study of Bortezomib for Maintenance Therapy in Patients With High Risk Diffuse Large B Cell Lymphoma	Bortezomib Maintenance in High Risk DLBCL	Bortezomib	2	NCT01965977
